country,year,value,unit,category
LU,2016,97300.0,Euros,GDP per capita
LV,2016,12430.0,Euros,GDP per capita
MT,2016,23400.0,Euros,GDP per capita
NL,2016,42050.0,Euros,GDP per capita
PL,2016,11740.0,Euros,GDP per capita
PT,2016,17670.0,Euros,GDP per capita
RO,2016,8370.0,Euros,GDP per capita
SE,2016,46660.0,Euros,GDP per capita
SI,2016,19210.0,Euros,GDP per capita
SK,2016,15090.0,Euros,GDP per capita
AT,2017,40620.0,Euros,GDP per capita
BE,2017,37510.0,Euros,GDP per capita
BG,2017,7130.0,Euros,GDP per capita
CY,2017,23530.0,Euros,GDP per capita
CZ,2017,17490.0,Euros,GDP per capita
DE,2017,39220.0,Euros,GDP per capita
DK,2017,50150.0,Euros,GDP per capita
EA20,2017,32340.0,Euros,GDP per capita
EE,2017,17390.0,Euros,GDP per capita
EL,2017,16540.0,Euros,GDP per capita
ES,2017,24750.0,Euros,GDP per capita
EU27_2020,2017,28990.0,Euros,GDP per capita
FI,2017,40430.0,Euros,GDP per capita
FR,2017,33920.0,Euros,GDP per capita
HR,2017,11770.0,Euros,GDP per capita
HU,2017,12380.0,Euros,GDP per capita
IE,2017,62970.0,Euros,GDP per capita
IT,2017,28510.0,Euros,GDP per capita
LT,2017,14150.0,Euros,GDP per capita
LU,2017,96460.0,Euros,GDP per capita
LV,2017,12970.0,Euros,GDP per capita
MT,2017,25710.0,Euros,GDP per capita
NL,2017,42970.0,Euros,GDP per capita
PL,2017,12340.0,Euros,GDP per capita
PT,2017,18280.0,Euros,GDP per capita
RO,2017,9100.0,Euros,GDP per capita
SE,2017,46880.0,Euros,GDP per capita
SI,2017,20190.0,Euros,GDP per capita
SK,2017,15500.0,Euros,GDP per capita
AT,2018,41430.0,Euros,GDP per capita
BE,2018,38040.0,Euros,GDP per capita
BG,2018,7410.0,Euros,GDP per capita
CY,2018,24700.0,Euros,GDP per capita
CZ,2018,17960.0,Euros,GDP per capita
DE,2018,39540.0,Euros,GDP per capita
DK,2018,50830.0,Euros,GDP per capita
EA20,2018,32830.0,Euros,GDP per capita
EE,2018,17990.0,Euros,GDP per capita
EL,2018,16920.0,Euros,GDP per capita
ES,2018,25230.0,Euros,GDP per capita
EU27_2020,2018,29540.0,Euros,GDP per capita
FI,2018,40860.0,Euros,GDP per capita
FR,2018,34320.0,Euros,GDP per capita
HR,2018,12230.0,Euros,GDP per capita
HU,2018,13100.0,Euros,GDP per capita
IE,2018,66760.0,Euros,GDP per capita
IT,2018,28810.0,Euros,GDP per capita
LT,2018,14970.0,Euros,GDP per capita
LU,2018,95740.0,Euros,GDP per capita
LV,2018,13630.0,Euros,GDP per capita
MT,2018,26600.0,Euros,GDP per capita
NL,2018,43680.0,Euros,GDP per capita
PL,2018,13120.0,Euros,GDP per capita
PT,2018,18830.0,Euros,GDP per capita
RO,2018,9720.0,Euros,GDP per capita
SE,2018,47220.0,Euros,GDP per capita
SI,2018,21010.0,Euros,GDP per capita
SK,2018,16110.0,Euros,GDP per capita
AT,2019,41970.0,Euros,GDP per capita
BE,2019,38760.0,Euros,GDP per capita
BG,2019,7800.0,Euros,GDP per capita
CY,2019,25800.0,Euros,GDP per capita
CZ,2019,18570.0,Euros,GDP per capita
DE,2019,39840.0,Euros,GDP per capita
DK,2019,51500.0,Euros,GDP per capita
EA20,2019,33280.0,Euros,GDP per capita
EE,2019,18580.0,Euros,GDP per capita
EL,2019,17320.0,Euros,GDP per capita
ES,2019,25520.0,Euros,GDP per capita
EU27_2020,2019,30040.0,Euros,GDP per capita
FI,2019,41370.0,Euros,GDP per capita
FR,2019,34880.0,Euros,GDP per capita
HR,2019,12940.0,Euros,GDP per capita
HU,2019,13780.0,Euros,GDP per capita
IE,2019,69040.0,Euros,GDP per capita
IT,2019,29000.0,Euros,GDP per capita
LT,2019,15710.0,Euros,GDP per capita
LU,2019,96520.0,Euros,GDP per capita
LV,2019,13820.0,Euros,GDP per capita
MT,2019,26570.0,Euros,GDP per capita
NL,2019,44390.0,Euros,GDP per capita
PL,2019,13720.0,Euros,GDP per capita
PT,2019,19310.0,Euros,GDP per capita
RO,2019,10140.0,Euros,GDP per capita
SE,2019,47940.0,Euros,GDP per capita
SI,2019,21570.0,Euros,GDP per capita
SK,2019,16450.0,Euros,GDP per capita
AT,2020,39140.0,Euros,GDP per capita
BE,2020,36740.0,Euros,GDP per capita
BG,2020,7620.0,Euros,GDP per capita
CY,2020,24690.0,Euros,GDP per capita
CZ,2020,17670.0,Euros,GDP per capita
DE,2020,38180.0,Euros,GDP per capita
DK,2020,50470.0,Euros,GDP per capita
EA20,2020,31220.0,Euros,GDP per capita
EE,2020,17990.0,Euros,GDP per capita
EL,2020,15760.0,Euros,GDP per capita
ES,2020,22610.0,Euros,GDP per capita
EU27_2020,2020,28390.0,Euros,GDP per capita
FI,2020,40270.0,Euros,GDP per capita
FR,2020,32170.0,Euros,GDP per capita
HR,2020,11970.0,Euros,GDP per capita
HU,2020,13210.0,Euros,GDP per capita
IE,2020,73000.0,Euros,GDP per capita
IT,2020,26560.0,Euros,GDP per capita
LT,2020,15720.0,Euros,GDP per capita
LU,2020,94180.0,Euros,GDP per capita
LV,2020,13430.0,Euros,GDP per capita
MT,2020,25110.0,Euros,GDP per capita
NL,2020,42440.0,Euros,GDP per capita
PL,2020,13720.0,Euros,GDP per capita
PT,2020,17680.0,Euros,GDP per capita
RO,2020,9820.0,Euros,GDP per capita
SE,2020,46640.0,Euros,GDP per capita
SI,2020,20560.0,Euros,GDP per capita
SK,2020,16010.0,Euros,GDP per capita
AT,2021,40860.0,Euros,GDP per capita
BE,2021,38860.0,Euros,GDP per capita
BG,2021,8270.0,Euros,GDP per capita
CY,2021,27240.0,Euros,GDP per capita
CZ,2021,18380.0,Euros,GDP per capita
DE,2021,39570.0,Euros,GDP per capita
DK,2021,53970.0,Euros,GDP per capita
EA20,2021,33180.0,Euros,GDP per capita
EE,2021,19260.0,Euros,GDP per capita
EL,2021,17220.0,Euros,GDP per capita
ES,2021,24120.0,Euros,GDP per capita
EU27_2020,2021,30200.0,Euros,GDP per capita
FI,2021,41290.0,Euros,GDP per capita
FR,2021,34260.0,Euros,GDP per capita
HR,2021,13580.0,Euros,GDP per capita
HU,2021,14210.0,Euros,GDP per capita
IE,2021,83910.0,Euros,GDP per capita
IT,2021,29080.0,Euros,GDP per capita
LT,2021,16740.0,Euros,GDP per capita
LU,2021,99360.0,Euros,GDP per capita
LV,2021,14480.0,Euros,GDP per capita
MT,2021,28340.0,Euros,GDP per capita
NL,2021,44870.0,Euros,GDP per capita
PL,2021,14750.0,Euros,GDP per capita
PT,2021,18620.0,Euros,GDP per capita
RO,2021,10450.0,Euros,GDP per capita
SE,2021,49110.0,Euros,GDP per capita
SI,2021,22230.0,Euros,GDP per capita
SK,2021,16980.0,Euros,GDP per capita
AT,2022,42540.0,Euros,GDP per capita
BE,2022,40180.0,Euros,GDP per capita
BG,2022,8660.0,Euros,GDP per capita
CY,2022,28860.0,Euros,GDP per capita
CZ,2022,18450.0,Euros,GDP per capita
DE,2022,39820.0,Euros,GDP per capita
DK,2022,54310.0,Euros,GDP per capita
EA20,2022,34190.0,Euros,GDP per capita
EE,2022,19240.0,Euros,GDP per capita
EL,2022,18310.0,Euros,GDP per capita
ES,2022,25380.0,Euros,GDP per capita
EU27_2020,2022,31060.0,Euros,GDP per capita
FI,2022,41770.0,Euros,GDP per capita
FR,2022,35040.0,Euros,GDP per capita
HR,2022,14580.0,Euros,GDP per capita
HU,2022,14860.0,Euros,GDP per capita
IE,2022,89250.0,Euros,GDP per capita
IT,2022,30500.0,Euros,GDP per capita
LT,2022,17020.0,Euros,GDP per capita
LU,2022,98560.0,Euros,GDP per capita
LV,2022,14730.0,Euros,GDP per capita
MT,2022,28750.0,Euros,GDP per capita
NL,2022,46670.0,Euros,GDP per capita
PL,2022,15190.0,Euros,GDP per capita
PT,2022,19800.0,Euros,GDP per capita
RO,2022,10910.0,Euros,GDP per capita
SE,2022,49370.0,Euros,GDP per capita
SI,2022,22810.0,Euros,GDP per capita
SK,2022,17010.0,Euros,GDP per capita
AT,2023,41770.0,Euros,GDP per capita
BE,2023,40370.0,Euros,GDP per capita
BG,2023,8850.0,Euros,GDP per capita
CY,2023,29150.0,Euros,GDP per capita
CZ,2023,18230.0,Euros,GDP per capita
DE,2023,39380.0,Euros,GDP per capita
DK,2023,55280.0,Euros,GDP per capita
EA20,2023,34110.0,Euros,GDP per capita
EE,2023,18200.0,Euros,GDP per capita
EL,2023,18800.0,Euros,GDP per capita
ES,2023,25730.0,Euros,GDP per capita
EU27_2020,2023,31030.0,Euros,GDP per capita
FI,2023,41140.0,Euros,GDP per capita
FR,2023,35260.0,Euros,GDP per capita
HR,2023,14970.0,Euros,GDP per capita
HU,2023,14740.0,Euros,GDP per capita
IE,2023,82780.0,Euros,GDP per capita
IT,2023,30720.0,Euros,GDP per capita
LT,2023,16840.0,Euros,GDP per capita
LU,2023,95660.0,Euros,GDP per capita
LV,2023,15020.0,Euros,GDP per capita
MT,2023,29700.0,Euros,GDP per capita
NL,2023,46240.0,Euros,GDP per capita
PL,2023,15280.0,Euros,GDP per capita
PT,2023,20090.0,Euros,GDP per capita
RO,2023,11170.0,Euros,GDP per capita
SE,2023,48840.0,Euros,GDP per capita
SI,2023,23170.0,Euros,GDP per capita
SK,2023,17240.0,Euros,GDP per capita
