country,year,value,unit,category
ES,1999,20750.0,Euros,GDP per capita
EU27_2020,1999,23070.0,Euros,GDP per capita
FI,1999,32340.0,Euros,GDP per capita
FR,1999,29060.0,Euros,GDP per capita
HR,1999,7620.0,Euros,GDP per capita
HU,1999,7730.0,Euros,GDP per capita
IE,1999,35600.0,Euros,GDP per capita
IT,1999,28310.0,Euros,GDP per capita
LT,1999,5520.0,Euros,GDP per capita
LU,1999,78880.0,Euros,GDP per capita
LV,1999,5340.0,Euros,GDP per capita
MT,1999,,Euros,GDP per capita
NL,1999,35420.0,Euros,GDP per capita
PL,1999,6370.0,Euros,GDP per capita
PT,1999,16460.0,Euros,GDP per capita
RO,1999,4020.0,Euros,GDP per capita
SE,1999,35880.0,Euros,GDP per capita
SI,1999,14100.0,Euros,GDP per capita
SK,1999,8040.0,Euros,GDP per capita
AT,2000,34760.0,Euros,GDP per capita
BE,2000,32340.0,Euros,GDP per capita
BG,2000,3350.0,Euros,GDP per capita
CY,2000,20180.0,Euros,GDP per capita
CZ,2000,11290.0,Euros,GDP per capita
DE,2000,31920.0,Euros,GDP per capita
DK,2000,44450.0,Euros,GDP per capita
EA20,2000,27990.0,Euros,GDP per capita
EE,2000,8990.0,Euros,GDP per capita
EL,2000,16230.0,Euros,GDP per capita
ES,2000,21730.0,Euros,GDP per capita
EU27_2020,2000,23930.0,Euros,GDP per capita
FI,2000,34130.0,Euros,GDP per capita
FR,2000,30060.0,Euros,GDP per capita
HR,2000,7920.0,Euros,GDP per capita
HU,2000,8090.0,Euros,GDP per capita
IE,2000,38440.0,Euros,GDP per capita
IT,2000,29390.0,Euros,GDP per capita
LT,2000,5750.0,Euros,GDP per capita
LU,2000,83270.0,Euros,GDP per capita
LV,2000,5710.0,Euros,GDP per capita
MT,2000,15640.0,Euros,GDP per capita
NL,2000,36650.0,Euros,GDP per capita
PL,2000,6670.0,Euros,GDP per capita
PT,2000,16960.0,Euros,GDP per capita
RO,2000,4120.0,Euros,GDP per capita
SE,2000,37480.0,Euros,GDP per capita
SI,2000,14550.0,Euros,GDP per capita
SK,2000,8090.0,Euros,GDP per capita
AT,2001,35090.0,Euros,GDP per capita
BE,2001,32580.0,Euros,GDP per capita
BG,2001,3600.0,Euros,GDP per capita
CY,2001,20750.0,Euros,GDP per capita
CZ,2001,11680.0,Euros,GDP per capita
DE,2001,32420.0,Euros,GDP per capita
DK,2001,44710.0,Euros,GDP per capita
